Time (ms),Name,Value
2,"Button X","false"
2,"Analog Voltage 8","7.442609786987305"
2,"Analog Voltage 7","-5.763309891335666E-4"
2,"Analog Voltage 6","-5.393960163928568E-4"
2,"Analog Voltage 5","0.19982364773750305"
2,"Analog Voltage 4","-5.630400264635682E-4"
2,"Analog Voltage 3","-4.772550018969923E-4"
2,"Analog Voltage 2","-5.145050236023962E-4"
3,"Reversed(Button A/2)","false"
3,"Analog Voltage 1","-6.014810060150921E-4"
40,"Analog Voltage 4","-0.0057024708949029446"
43,"Analog Voltage 5","0.1844055950641632"
80,"Analog Voltage 4","-5.630400264635682E-4"
83,"Analog Voltage 5","0.20496299862861633"
158,"Analog Voltage 3","-0.005617698188871145"
164,"Analog Voltage 5","0.19982364773750305"
199,"Analog Voltage 3","-4.772550018969923E-4"
204,"Analog Voltage 5","0.1844055950641632"
242,"Analog Voltage 5","0.20496299862861633"
278,"Analog Voltage 3","-0.005617698188871145"
318,"Analog Voltage 3","-4.772550018969923E-4"
324,"Analog Voltage 5","0.19982364773750305"
327,"Analog Voltage 6","-0.00567801296710968"
333,"Analog Voltage 7","-0.005715671926736832"
358,"Analog Voltage 3","-0.005617698188871145"
364,"Analog Voltage 5","0.17926624417304993"
370,"Analog Voltage 6","-5.393960163928568E-4"
373,"Analog Voltage 7","-5.763309891335666E-4"
399,"Analog Voltage 3","-4.772550018969923E-4"
404,"Analog Voltage 5","0.1844055950641632"
413,"Analog Voltage 7","-0.005715671926736832"
447,"Analog Voltage 7","-5.763309891335666E-4"
482,"Analog Voltage 5","0.20496299862861633"
485,"Analog Voltage 6","-0.00567801296710968"
516,"Analog Voltage 2","-0.005652613006532192"
524,"Analog Voltage 5","0.22552040219306946"
528,"Analog Voltage 6","-5.393960163928568E-4"
534,"Analog Voltage 7","-0.005715671926736832"
557,"Analog Voltage 2","-5.145050236023962E-4"
565,"Analog Voltage 5","0.20496299862861633"
573,"Analog Voltage 7","-5.763309891335666E-4"
598,"Analog Voltage 3","-0.005617698188871145"
604,"Analog Voltage 5","0.1844055950641632"
637,"Analog Voltage 3","-4.772550018969923E-4"
