(matchnum, 1), (teamnum, 100), (autoNothing, 1), (uberPlacement, 1), (autoRating, 1), ((null), 1), (startPos, 1), (status, 1), (armRating, 1), (maneuverRating, 1), (grabsTri, 1), (grabsSqr, 1), (grabsCirc, 1), (misses, 1), (groundPickup, 1), (logos, 1), (unknownscores, 1), (scoreslow, 1), (scoresmid, 1), (scorestop, 1), (telepenalties, 1), (positions, 1), (any_penalties, 1), (minibotSpeed, 836), (deploySpeed, 1), (miniPlacement, 1), (minibotRating, 1), 
(matchnum, 2), (teamnum, 1351), (autoNothing, 1), (uberPlacement, 2), (autoRating, 2), ((null), 2), (startPos, 2), (status, 2), (armRating, 2), (maneuverRating, 2), (grabsTri, 1), (grabsSqr, 1), (grabsCirc, 1), (misses, 2), (groundPickup, 1), (logos, 1), (unknownscores, 2), (scoreslow, 2), (scoresmid, 2), (scorestop, 2), (telepenalties, 2), (positions, 3), (any_penalties, 1), (minibotSpeed, 585), (deploySpeed, 4), (miniPlacement, 2), (minibotRating, 3), 
(matchnum, 3), (teamnum, 581), (autoNothing, 1), (uberPlacement, 4), (autoRating, 4), ((null), 3), (startPos, 4), (status, 3), (armRating, 4), (maneuverRating, 4), (grabsTri, 1), (grabsSqr, 1), (grabsCirc, 1), (misses, 3), (groundPickup, 1), (logos, 1), (unknownscores, 3), (scoreslow, 3), (scoresmid, 3), (scorestop, 3), (telepenalties, 3), (positions, 3), (any_penalties, 1), (minibotSpeed, 0), (deploySpeed, 4), (miniPlacement, 4), (minibotRating, 3), 
(matchnum, 4), (teamnum, 1967), (autoNothing, 1), (uberPlacement, 8), (autoRating, 8), ((null), 4), (startPos, 1), (status, 1), (armRating, 8), (maneuverRating, 8), (grabsTri, 1), (grabsSqr, 1), (grabsCirc, 1), (misses, 4), (groundPickup, 1), (logos, 1), (unknownscores, 4), (scoreslow, 4), (scoresmid, 4), (scorestop, 4), (telepenalties, 4), (positions, 4), (any_penalties, 1), (minibotSpeed, 769), (deploySpeed, 8), (miniPlacement, 5), (minibotRating, 4), 
(matchnum, 5), (teamnum, 2473), (autoNothing, 1), (uberPlacement, 4), (autoRating, 2), ((null), 1), (startPos, 1), (status, 3), (armRating, 64), (maneuverRating, 32), (grabsTri, 1), (grabsSqr, 1), (grabsCirc, 1), (misses, 5), (groundPickup, 1), (logos, 1), (unknownscores, 4), (scoreslow, 3), (scoresmid, 2), (scorestop, 1), (telepenalties, 0), (positions, 1), (any_penalties, 1), (minibotSpeed, 568), (deploySpeed, 64), (miniPlacement, 5), (minibotRating, 6), 
(matchnum, 6), (teamnum, 3256), (autoNothing, 0), (uberPlacement, 0), (autoRating, 0), ((null), 0), (startPos, 0), (status, 0), (armRating, 0), (maneuverRating, 0), (grabsTri, 0), (grabsSqr, 0), (grabsCirc, 0), (misses, 0), (groundPickup, 0), (logos, 0), (unknownscores, 0), (scoreslow, 0), (scoresmid, 0), (scorestop, 0), (telepenalties, 0), (positions, 0), (any_penalties, 0), (minibotSpeed, 0), (deploySpeed, 0), (miniPlacement, 1), (minibotRating, 1), 
(matchnum, 7), (teamnum, 840), (autoNothing, 0), (uberPlacement, 0), (autoRating, 0), ((null), 0), (startPos, 0), (status, 0), (armRating, 0), (maneuverRating, 0), (grabsTri, 0), (grabsSqr, 0), (grabsCirc, 0), (misses, 0), (groundPickup, 0), (logos, 0), (unknownscores, 0), (scoreslow, 0), (scoresmid, 0), (scorestop, 0), (telepenalties, 0), (positions, 0), (any_penalties, 0), (minibotSpeed, 0), (deploySpeed, 0), (miniPlacement, 1), (minibotRating, 1), 
(matchnum, 8), (teamnum, 3045), (autoNothing, 0), (uberPlacement, 0), (autoRating, 0), ((null), 0), (startPos, 0), (status, 0), (armRating, 0), (maneuverRating, 0), (grabsTri, 0), (grabsSqr, 0), (grabsCirc, 0), (misses, 0), (groundPickup, 0), (logos, 0), (unknownscores, 0), (scoreslow, 0), (scoresmid, 0), (scorestop, 0), (telepenalties, 0), (positions, 0), (any_penalties, 0), (minibotSpeed, 0), (deploySpeed, 0), (miniPlacement, 1), (minibotRating, 1), 
(matchnum, 9), (teamnum, 2551), (autoNothing, 0), (uberPlacement, 0), (autoRating, 0), ((null), 0), (startPos, 0), (status, 0), (armRating, 0), (maneuverRating, 0), (grabsTri, 0), (grabsSqr, 0), (grabsCirc, 0), (misses, 0), (groundPickup, 0), (logos, 0), (unknownscores, 0), (scoreslow, 0), (scoresmid, 0), (scorestop, 0), (telepenalties, 0), (positions, 0), (any_penalties, 0), (minibotSpeed, 0), (deploySpeed, 0), (miniPlacement, 1), (minibotRating, 1), 
(matchnum, 10), (teamnum, 2122), (autoNothing, 0), (uberPlacement, 0), (autoRating, 0), ((null), 0), (startPos, 0), (status, 0), (armRating, 0), (maneuverRating, 0), (grabsTri, 0), (grabsSqr, 0), (grabsCirc, 0), (misses, 0), (groundPickup, 0), (logos, 0), (unknownscores, 0), (scoreslow, 0), (scoresmid, 0), (scorestop, 0), (telepenalties, 0), (positions, 0), (any_penalties, 0), (minibotSpeed, 0), (deploySpeed, 0), (miniPlacement, 1), (minibotRating, 1), 
(matchnum, 11), (teamnum, 1516), (autoNothing, 1), (uberPlacement, 8), (autoRating, 256), ((null), 9), (startPos, 4), (status, 3), (armRating, 64), (maneuverRating, 128), (grabsTri, 0), (grabsSqr, 1), (grabsCirc, 0), (misses, 14), (groundPickup, 0), (logos, 0), (unknownscores, 13), (scoreslow, 12), (scoresmid, 11), (scorestop, 10), (telepenalties, 8), (positions, 1), (any_penalties, 1), (minibotSpeed, 535), (deploySpeed, 32), (miniPlacement, 5), (minibotRating, 6), 
(matchnum, 12), (teamnum, 668), (autoNothing, 0), (uberPlacement, 0), (autoRating, 0), ((null), 0), (startPos, 0), (status, 0), (armRating, 0), (maneuverRating, 0), (grabsTri, 0), (grabsSqr, 0), (grabsCirc, 0), (misses, 0), (groundPickup, 0), (logos, 0), (unknownscores, 0), (scoreslow, 0), (scoresmid, 0), (scorestop, 0), (telepenalties, 0), (positions, 0), (any_penalties, 0), (minibotSpeed, 0), (deploySpeed, 0), (miniPlacement, 1), (minibotRating, 1), 
(matchnum, 13), (teamnum, 1967), (autoNothing, 0), (uberPlacement, 0), (autoRating, 0), ((null), 0), (startPos, 0), (status, 0), (armRating, 0), (maneuverRating, 0), (grabsTri, 0), (grabsSqr, 0), (grabsCirc, 0), (misses, 0), (groundPickup, 0), (logos, 0), (unknownscores, 0), (scoreslow, 0), (scoresmid, 0), (scorestop, 0), (telepenalties, 0), (positions, 0), (any_penalties, 0), (minibotSpeed, 0), (deploySpeed, 0), (miniPlacement, 1), (minibotRating, 1), 
(matchnum, 14), (teamnum, 1868), (autoNothing, 0), (uberPlacement, 0), (autoRating, 0), ((null), 0), (startPos, 0), (status, 0), (armRating, 0), (maneuverRating, 0), (grabsTri, 0), (grabsSqr, 0), (grabsCirc, 0), (misses, 0), (groundPickup, 0), (logos, 0), (unknownscores, 0), (scoreslow, 0), (scoresmid, 0), (scorestop, 0), (telepenalties, 0), (positions, 0), (any_penalties, 0), (minibotSpeed, 0), (deploySpeed, 0), (miniPlacement, 1), (minibotRating, 1), 
(matchnum, 15), (teamnum, 1323), (autoNothing, 0), (uberPlacement, 0), (autoRating, 0), ((null), 0), (startPos, 0), (status, 0), (armRating, 0), (maneuverRating, 0), (grabsTri, 0), (grabsSqr, 0), (grabsCirc, 0), (misses, 0), (groundPickup, 0), (logos, 0), (unknownscores, 0), (scoreslow, 0), (scoresmid, 0), (scorestop, 0), (telepenalties, 0), (positions, 0), (any_penalties, 0), (minibotSpeed, 0), (deploySpeed, 0), (miniPlacement, 1), (minibotRating, 1), 
(matchnum, 16), (teamnum, 846), (autoNothing, 0), (uberPlacement, 0), (autoRating, 0), ((null), 0), (startPos, 0), (status, 0), (armRating, 0), (maneuverRating, 0), (grabsTri, 0), (grabsSqr, 0), (grabsCirc, 0), (misses, 0), (groundPickup, 0), (logos, 0), (unknownscores, 0), (scoreslow, 0), (scoresmid, 0), (scorestop, 0), (telepenalties, 0), (positions, 0), (any_penalties, 0), (minibotSpeed, 0), (deploySpeed, 0), (miniPlacement, 1), (minibotRating, 1), 
(matchnum, 17), (teamnum, 2489), (autoNothing, 0), (uberPlacement, 0), (autoRating, 0), ((null), 0), (startPos, 0), (status, 1), (armRating, 0), (maneuverRating, 0), (grabsTri, 0), (grabsSqr, 0), (grabsCirc, 0), (misses, 0), (groundPickup, 0), (logos, 0), (unknownscores, 0), (scoreslow, 2), (scoresmid, 0), (scorestop, 0), (telepenalties, 0), (positions, 1), (any_penalties, 0), (minibotSpeed, 0), (deploySpeed, 0), (miniPlacement, 1), (minibotRating, 1), 
(matchnum, 18), (teamnum, 1280), (autoNothing, 0), (uberPlacement, 0), (autoRating, 0), ((null), 0), (startPos, 0), (status, 0), (armRating, 0), (maneuverRating, 0), (grabsTri, 0), (grabsSqr, 0), (grabsCirc, 0), (misses, 0), (groundPickup, 0), (logos, 0), (unknownscores, 0), (scoreslow, 0), (scoresmid, 0), (scorestop, 0), (telepenalties, 0), (positions, 0), (any_penalties, 0), (minibotSpeed, 0), (deploySpeed, 0), (miniPlacement, 1), (minibotRating, 1), 
(matchnum, 19), (teamnum, 2144), (autoNothing, 0), (uberPlacement, 0), (autoRating, 0), ((null), 0), (startPos, 0), (status, 0), (armRating, 0), (maneuverRating, 0), (grabsTri, 0), (grabsSqr, 0), (grabsCirc, 0), (misses, 0), (groundPickup, 0), (logos, 0), (unknownscores, 0), (scoreslow, 0), (scoresmid, 0), (scorestop, 0), (telepenalties, 0), (positions, 0), (any_penalties, 0), (minibotSpeed, 0), (deploySpeed, 0), (miniPlacement, 1), (minibotRating, 1), 
(matchnum, 20), (teamnum, 2643), (autoNothing, 0), (uberPlacement, 0), (autoRating, 0), ((null), 0), (startPos, 0), (status, 0), (armRating, 0), (maneuverRating, 0), (grabsTri, 0), (grabsSqr, 0), (grabsCirc, 0), (misses, 0), (groundPickup, 0), (logos, 0), (unknownscores, 0), (scoreslow, 0), (scoresmid, 0), (scorestop, 0), (telepenalties, 0), (positions, 0), (any_penalties, 0), (minibotSpeed, 0), (deploySpeed, 0), (miniPlacement, 1), (minibotRating, 1), 
(matchnum, 21), (teamnum, 3013), (autoNothing, 0), (uberPlacement, 0), (autoRating, 0), ((null), 0), (startPos, 0), (status, 0), (armRating, 0), (maneuverRating, 0), (grabsTri, 0), (grabsSqr, 0), (grabsCirc, 0), (misses, 0), (groundPickup, 0), (logos, 0), (unknownscores, 0), (scoreslow, 0), (scoresmid, 0), (scorestop, 0), (telepenalties, 0), (positions, 0), (any_penalties, 0), (minibotSpeed, 0), (deploySpeed, 0), (miniPlacement, 1), (minibotRating, 1), 
