(matchnum, 1), (teamnum, 2813), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 1), (active, 0), (startposition, 2), (misses, 0), (driverrating, 1), (manueverrating, 1), (defensiverating, 1), (offensiverating, 1), (range, 1), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 2), (teamnum, 2473), (autodisabled, 1), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 0), (driverrating, 8), (manueverrating, 64), (defensiverating, 1), (offensiverating, 1), (range, 1), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 3), (teamnum, 1351), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 2), (misses, 0), (driverrating, 8), (manueverrating, 8), (defensiverating, 1), (offensiverating, 1), (range, 1), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 2), (redcard, 0), 
(matchnum, 4), (teamnum, 254), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 0), (driverrating, 16), (manueverrating, 16), (defensiverating, 2), (offensiverating, 32), (range, 2), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 2), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 5), (teamnum, 1156), (autodisabled, 1), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 0), (driverrating, 2), (manueverrating, 2), (defensiverating, 2), (offensiverating, 2), (range, 1), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 6), (teamnum, 751), (autodisabled, 1), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 0), (driverrating, 64), (manueverrating, 32), (defensiverating, 32), (offensiverating, 1), (range, 1), (robottype, 3), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 7), (teamnum, 1967), (autodisabled, 1), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 2), (misses, 0), (driverrating, 1), (manueverrating, 1), (defensiverating, 1), (offensiverating, 1), (range, 1), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 8), (teamnum, 604), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 1), (active, 0), (startposition, 1), (misses, 0), (driverrating, 32), (manueverrating, 32), (defensiverating, 2), (offensiverating, 32), (range, 3), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 5), (redcard, 0), 
(matchnum, 9), (teamnum, 1351), (autodisabled, 1), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 0), (driverrating, 16), (manueverrating, 16), (defensiverating, 1), (offensiverating, 16), (range, 2), (robottype, 2), (telescorebot, 0), (telescoremid, 2), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 10), (teamnum, 3501), (autodisabled, 1), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 2), (driverrating, 2), (manueverrating, 1), (defensiverating, 1), (offensiverating, 1), (range, 2), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 11), (teamnum, 2144), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 0), (driverrating, 8), (manueverrating, 8), (defensiverating, 2), (offensiverating, 1), (range, 1), (robottype, 3), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 2), (redcard, 0), 
